song_base,source,variant,ref_len,hyp_len,wer,cer,lev_dist_chars,rougeL_f1,uni_prec,uni_rec,uni_f1
Kaleo---All-The-Pretty-Girls_large-v2,whisperx,15,301,290,0.139535,0.080351,110,0.890017,0.906897,0.873754,0.890017
Kaleo---All-The-Pretty-Girls_large-v2,whisperx,None,301,287,0.126246,0.078159,107,0.901361,0.923345,0.880399,0.901361
Kaleo---All-The-Pretty-Girls_large-v3-turbo,whisperx,15,301,300,0.172757,0.092038,126,0.855241,0.863333,0.860465,0.861897
Kaleo---All-The-Pretty-Girls_large-v3-turbo,whisperx,None,301,290,0.182724,0.105186,144,0.849408,0.872414,0.840532,0.856176
Mira---Duro,whisper_openai,large-v2,272,306,0.224265,0.172043,224,0.847751,0.810458,0.911765,0.858131
Mira---Duro,whisper_openai,large-v3,272,322,0.305147,0.221966,289,0.804714,0.757764,0.897059,0.821549
Mira---Duro,whisper_timestamped,large-v2,272,274,0.242647,0.156682,204,0.813187,0.817518,0.823529,0.820513
Mira---Duro,whisper_timestamped,large-v3,272,319,0.297794,0.221966,289,0.805415,0.761755,0.893382,0.822335
Mira---Duro,whisper_timestamped,small,272,300,0.301471,0.196621,256,0.776224,0.760000,0.838235,0.797203
Mira---Duro_large-v2,whisperx,15,272,292,0.227941,0.169739,221,0.840426,0.828767,0.889706,0.858156
Mira---Duro_large-v2,whisperx,None,272,312,0.261029,0.207373,270,0.832192,0.791667,0.908088,0.845890
Mira---Duro_large-v3-turbo,whisperx,15,272,306,0.220588,0.172811,225,0.851211,0.813725,0.915441,0.861592
Mira---Duro_large-v3-turbo,whisperx,None,272,315,0.250000,0.201997,263,0.841567,0.796825,0.922794,0.855196
Madilyn-Bailey---Titanium,whisper_openai,large-v2,207,196,0.082126,0.070658,72,0.947891,0.974490,0.922705,0.947891
Madilyn-Bailey---Titanium,whisper_openai,large-v3,207,234,0.251208,0.232581,237,0.866213,0.824786,0.932367,0.875283
Madilyn-Bailey---Titanium,whisper_timestamped,large-v2,207,74,0.681159,0.642787,655,0.469751,0.891892,0.318841,0.469751
Madilyn-Bailey---Titanium,whisper_timestamped,large-v3,207,121,0.454106,0.417076,425,0.689024,0.950413,0.555556,0.701220
Madilyn-Bailey---Titanium,whisper_timestamped,small,207,119,0.516908,0.449460,458,0.613497,0.848739,0.487923,0.619632
Madilyn-Bailey---Titanium_large-v2,whisperx,15,207,198,0.086957,0.049068,50,0.933333,0.954545,0.913043,0.933333
Madilyn-Bailey---Titanium_large-v2,whisperx,None,207,198,0.082126,0.052012,53,0.943210,0.974747,0.932367,0.953086
Madilyn-Bailey---Titanium_large-v3-turbo,whisperx,15,207,194,0.164251,0.079490,81,0.867830,0.902062,0.845411,0.872818
Madilyn-Bailey---Titanium_large-v3-turbo,whisperx,None,207,199,0.111111,0.071639,73,0.921182,0.949749,0.913043,0.931034
Marize---Quem-Me-Dera,whisper_openai,large-v2,276,323,0.217391,0.162921,232,0.878130,0.817337,0.956522,0.881469
Marize---Quem-Me-Dera,whisper_openai,large-v3,276,322,0.210145,0.134129,191,0.882943,0.822981,0.960145,0.886288
Marize---Quem-Me-Dera,whisper_timestamped,large-v2,276,222,0.278986,0.240169,342,0.815261,0.918919,0.739130,0.819277
Marize---Quem-Me-Dera,whisper_timestamped,large-v3,276,542,1.010870,1.017556,1449,0.643032,0.487085,0.956522,0.645477
Marize---Quem-Me-Dera-whisperx-large-v3-turbo-15,whisperx,,276,270,0.105072,0.047753,68,0.919414,0.940741,0.920290,0.930403
Marize---Quem-Me-Dera-whisperx-large-v3-turbo-None,whisperx,,276,276,0.068841,0.023174,33,0.942029,0.945652,0.945652,0.945652
Marize---Quem-Me-Dera-whisperx-largev2-15,whisperx,,276,272,0.112319,0.055478,79,0.905109,0.922794,0.909420,0.916058
Marize---Quem-Me-Dera-whisperx-largev2-None,whisperx,,276,278,0.065217,0.027388,39,0.942238,0.942446,0.949275,0.945848
Marize---Quem-Me-Dera_large-v2,whisperx,15,276,272,0.112319,0.055478,79,0.905109,0.922794,0.909420,0.916058
Marize---Quem-Me-Dera_large-v2,whisperx,None,276,278,0.065217,0.027388,39,0.942238,0.942446,0.949275,0.945848
Marize---Quem-Me-Dera_large-v3-turbo,whisperx,15,276,270,0.105072,0.047753,68,0.919414,0.940741,0.920290,0.930403
Marize---Quem-Me-Dera_large-v3-turbo,whisperx,None,276,276,0.068841,0.023174,33,0.942029,0.945652,0.945652,0.945652
Michel-Telo---Ai-Se-Eu-Te-Pego,whisper_openai,large-v2,187,199,0.090909,0.087010,71,0.943005,0.939698,1.000000,0.968912
Michel-Telo---Ai-Se-Eu-Te-Pego,whisper_openai,large-v3,187,186,0.139037,0.131127,107,0.922252,0.930108,0.925134,0.927614
Michel-Telo---Ai-Se-Eu-Te-Pego,whisper_timestamped,large-v2,187,196,0.203209,0.126225,103,0.856397,0.846939,0.887701,0.866841
Michel-Telo---Ai-Se-Eu-Te-Pego,whisper_timestamped,large-v3,187,187,0.090909,0.068627,56,0.941176,0.957219,0.957219,0.957219
Michel-Telo---Ai-Se-Eu-Te-Pego-whisperx-large-v2-15,whisperx,,187,192,0.128342,0.106618,87,0.918206,0.916667,0.941176,0.928760
Michel-Telo---Ai-Se-Eu-Te-Pego-whisperx-large-v2-None,whisperx,,187,191,0.048128,0.049020,40,0.973545,0.963351,0.983957,0.973545
Michel-Telo---Ai-Se-Eu-Te-Pego-whisperx-large-v3-turbo-15,whisperx,,187,197,0.128342,0.102941,84,0.937500,0.918782,0.967914,0.942708
Michel-Telo---Ai-Se-Eu-Te-Pego-whisperx-large-v3-turbo-None,whisperx,,187,193,0.042781,0.044118,36,0.978947,0.963731,0.994652,0.978947
Michel-Telo---Ai-Se-Eu-Te-Pego_large-v2,whisperx,15,187,192,0.128342,0.106618,87,0.918206,0.916667,0.941176,0.928760
Michel-Telo---Ai-Se-Eu-Te-Pego_large-v2,whisperx,None,187,191,0.048128,0.049020,40,0.973545,0.963351,0.983957,0.973545
Michel-Telo---Ai-Se-Eu-Te-Pego_large-v3-turbo,whisperx,15,187,197,0.128342,0.102941,84,0.937500,0.918782,0.967914,0.942708
Michel-Telo---Ai-Se-Eu-Te-Pego_large-v3-turbo,whisperx,None,187,193,0.042781,0.044118,36,0.978947,0.963731,0.994652,0.978947
Neoni---Body-Bag,whisper_openai,large-v2,367,429,0.863760,0.525276,904,0.351759,0.382284,0.446866,0.412060
Neoni---Body-Bag,whisper_openai,large-v3,367,335,0.318801,0.220221,379,0.757835,0.838806,0.765668,0.800570
Neoni---Body-Bag,whisper_timestamped,large-v2,367,211,0.618529,0.504939,869,0.508651,0.781991,0.449591,0.570934
Neoni---Body-Bag,whisper_timestamped,large-v3,367,293,0.583106,0.411970,709,0.487879,0.580205,0.463215,0.515152
Neoni---Body-Bag,whisper_timestamped,small,367,272,0.564033,0.428239,737,0.535211,0.702206,0.520436,0.597809
Neoni---Body-Bag_large-v2,whisperx,15,367,317,0.332425,0.214410,369,0.725146,0.804416,0.694823,0.745614
Neoni---Body-Bag_large-v2,whisperx,None,367,374,0.340599,0.191749,330,0.699055,0.716578,0.730245,0.723347
Neoni---Body-Bag_large-v3-turbo,whisperx,15,367,308,0.318801,0.227193,391,0.746667,0.853896,0.716621,0.779259
Neoni---Body-Bag_large-v3-turbo,whisperx,None,367,355,0.318801,0.204532,352,0.739612,0.769014,0.743869,0.756233
Pearl-Jam---Black,whisper_openai,large-v2,206,243,0.364078,0.260659,269,0.761693,0.728395,0.859223,0.788419
Pearl-Jam---Black,whisper_openai,large-v3,206,271,0.597087,0.402132,415,0.641509,0.594096,0.781553,0.675052
Pearl-Jam---Black,whisper_timestamped,large-v2,206,146,0.402913,0.352713,364,0.704545,0.883562,0.626214,0.732955
Pearl-Jam---Black,whisper_timestamped,large-v3,206,290,0.635922,0.591085,610,0.677419,0.603448,0.849515,0.705645
Pearl-Jam---Black,whisper_timestamped,small,206,196,0.247573,0.162791,168,0.796020,0.841837,0.800971,0.820896
Pearl-Jam---Black_large-v2,whisperx,15,206,224,0.300971,0.190891,197,0.786047,0.803571,0.873786,0.837209
Pearl-Jam---Black_large-v2,whisperx,None,206,213,0.179612,0.131783,136,0.868735,0.882629,0.912621,0.897375
Pearl-Jam---Black_large-v3-turbo,whisperx,15,206,225,0.286408,0.192829,199,0.802784,0.813333,0.888350,0.849188
Pearl-Jam---Black_large-v3-turbo,whisperx,None,206,208,0.169903,0.112403,116,0.859903,0.884615,0.893204,0.888889
Pink-Floyd---Hey-You,whisper_openai,large-v2,175,253,0.628571,0.510083,430,0.668224,0.596838,0.862857,0.705607
Pink-Floyd---Hey-You,whisper_openai,large-v3,175,20,0.942857,0.894425,754,0.102564,0.500000,0.057143,0.102564
Pink-Floyd---Hey-You,whisper_timestamped,large-v2,175,120,0.320000,0.319098,269,0.806780,0.991667,0.680000,0.806780
Pink-Floyd---Hey-You,whisper_timestamped,large-v3,175,127,0.285714,0.284698,240,0.827815,0.984252,0.714286,0.827815
Pink-Floyd---Hey-You,whisper_timestamped,small,175,125,0.314286,0.301305,254,0.800000,0.960000,0.685714,0.800000
Pink-Floyd---Hey-You_large-v2,whisperx,15,175,176,0.040000,0.023725,20,0.974359,0.971591,0.977143,0.974359
Pink-Floyd---Hey-You_large-v2,whisperx,None,175,174,0.017143,0.009490,8,0.985673,0.988506,0.982857,0.985673
Pink-Floyd---Hey-You_large-v3-turbo,whisperx,15,175,176,0.068571,0.048636,41,0.940171,0.948864,0.954286,0.951567
Pink-Floyd---Hey-You_large-v3-turbo,whisperx,None,175,175,0.040000,0.028470,24,0.960000,0.965714,0.965714,0.965714
Radiohead---Creep,whisper_openai,large-v2,166,157,0.114458,0.087011,69,0.916409,0.942675,0.891566,0.916409
Radiohead---Creep,whisper_openai,large-v3,166,217,0.457831,0.374527,297,0.751958,0.677419,0.885542,0.767624
Radiohead---Creep,whisper_timestamped,large-v2,166,128,0.246988,0.237074,188,0.857143,0.984375,0.759036,0.857143
Radiohead---Creep,whisper_timestamped,large-v3,166,194,0.349398,0.302648,240,0.800000,0.752577,0.879518,0.811111
Radiohead---Creep,whisper_timestamped,small,166,140,0.337349,0.269861,214,0.745098,0.850000,0.716867,0.777778
Radiohead---Creep_large-v2,whisperx,15,166,169,0.156627,0.105927,84,0.871642,0.869822,0.885542,0.877612
Radiohead---Creep_large-v2,whisperx,None,166,262,0.698795,0.418663,332,0.696262,0.568702,0.897590,0.696262
Radiohead---Creep_large-v3-turbo,whisperx,15,166,157,0.120482,0.097100,77,0.904025,0.936306,0.885542,0.910217
Radiohead---Creep_large-v3-turbo,whisperx,None,166,156,0.120482,0.102144,81,0.913043,0.942308,0.885542,0.913043
Scorpions---Wind-Of-Change,whisper_openai,large-v2,294,231,0.394558,0.323751,473,0.720000,0.861472,0.676871,0.758095
Scorpions---Wind-Of-Change,whisper_openai,large-v3,294,257,0.503401,0.368925,539,0.606171,0.731518,0.639456,0.682396
Scorpions---Wind-Of-Change,whisper_timestamped,large-v2,294,171,0.496599,0.440110,643,0.649462,0.912281,0.530612,0.670968
Scorpions---Wind-Of-Change,whisper_timestamped,large-v3,294,514,1.295918,0.989733,1446,0.391089,0.321012,0.561224,0.408416
Scorpions---Wind-Of-Change,whisper_timestamped,small,294,184,0.455782,0.375770,549,0.669456,0.875000,0.547619,0.673640
Scorpions---Wind-Of-Change_large-v2,whisperx,15,294,224,0.414966,0.331280,484,0.706564,0.861607,0.656463,0.745174
Scorpions---Wind-Of-Change_large-v2,whisperx,None,294,220,0.401361,0.325804,476,0.712062,0.872727,0.653061,0.747082
Scorpions---Wind-Of-Change_large-v3-turbo,whisperx,15,294,216,0.394558,0.323751,473,0.717647,0.884259,0.649660,0.749020
Scorpions---Wind-Of-Change_large-v3-turbo,whisperx,None,294,217,0.401361,0.322382,471,0.708415,0.875576,0.646259,0.743640
Steve-Miller-Band---Space-Cowboy,whisper_openai,large-v2,295,326,0.203390,0.150449,218,0.866345,0.828221,0.915254,0.869565
Steve-Miller-Band---Space-Cowboy,whisper_openai,large-v3,295,366,0.338983,0.284334,412,0.807867,0.748634,0.928814,0.829047
Steve-Miller-Band---Space-Cowboy,whisper_timestamped,large-v2,295,271,0.294915,0.234645,340,0.826855,0.870849,0.800000,0.833922
Steve-Miller-Band---Space-Cowboy,whisper_timestamped,large-v3,295,344,0.230508,0.173223,251,0.866980,0.813953,0.949153,0.876369
Steve-Miller-Band---Space-Cowboy,whisper_timestamped,small,295,292,0.132203,0.078675,114,0.872232,0.883562,0.874576,0.879046
Steve-Miller-Band---Space-Cowboy_large-v2,whisperx,15,295,295,0.115254,0.060041,87,0.894915,0.908475,0.908475,0.908475
Steve-Miller-Band---Space-Cowboy_large-v2,whisperx,None,295,293,0.067797,0.031056,45,0.935374,0.945392,0.938983,0.942177
Steve-Miller-Band---Space-Cowboy_large-v3-turbo,whisperx,15,295,298,0.108475,0.058661,85,0.907251,0.906040,0.915254,0.910624
Steve-Miller-Band---Space-Cowboy_large-v3-turbo,whisperx,None,295,293,0.074576,0.028986,42,0.928571,0.938567,0.932203,0.935374
Sublime---Ensenada,whisper_openai,large-v2,268,197,0.414179,0.281949,353,0.701075,0.827411,0.608209,0.701075
Sublime---Ensenada,whisper_openai,large-v3,268,257,0.414179,0.247604,310,0.693333,0.739300,0.708955,0.723810
Sublime---Ensenada,whisper_timestamped,large-v2,268,117,0.746269,0.622204,779,0.394805,0.709402,0.309701,0.431169
Sublime---Ensenada,whisper_timestamped,large-v3,268,277,0.865672,0.610224,764,0.429358,0.472924,0.488806,0.480734
Sublime---Ensenada,whisper_timestamped,small,268,188,0.514925,0.365815,458,0.600877,0.750000,0.526119,0.618421
Sublime---Ensenada_large-v2,whisperx,15,268,239,0.339552,0.189297,237,0.737673,0.811715,0.723881,0.765286
Sublime---Ensenada_large-v2,whisperx,None,268,240,0.294776,0.135783,170,0.763780,0.833333,0.746269,0.787402
Sublime---Ensenada_large-v3-turbo,whisperx,15,268,236,0.373134,0.230032,288,0.702381,0.775424,0.682836,0.726190
Sublime---Ensenada_large-v3-turbo,whisperx,None,268,239,0.309701,0.154952,194,0.749507,0.811715,0.723881,0.765286
Sun-Burns---Alkaline-Trio,whisper_openai,large-v2,272,291,0.136029,0.120703,158,0.920071,0.893471,0.955882,0.923623
Sun-Burns---Alkaline-Trio,whisper_openai,large-v3,272,374,0.481618,0.394194,516,0.770898,0.673797,0.926471,0.780186
Sun-Burns---Alkaline-Trio,whisper_timestamped,large-v2,272,227,0.246324,0.212376,278,0.833667,0.929515,0.775735,0.845691
Sun-Burns---Alkaline-Trio,whisper_timestamped,large-v3,272,351,0.341912,0.284186,372,0.837881,0.752137,0.970588,0.847512
Sun-Burns---Alkaline-Trio,whisper_timestamped,small,272,275,0.176471,0.116119,152,0.855576,0.865455,0.875000,0.870201
Sun-Burns---Alkaline-Trio_large-v2,whisperx,15,272,269,0.125000,0.085561,112,0.898336,0.921933,0.911765,0.916821
Sun-Burns---Alkaline-Trio_large-v2,whisperx,None,272,269,0.069853,0.049656,65,0.942699,0.951673,0.941176,0.946396
Sun-Burns---Alkaline-Trio_large-v3-turbo,whisperx,15,272,270,0.147059,0.095493,125,0.878229,0.900000,0.893382,0.896679
Sun-Burns---Alkaline-Trio_large-v3-turbo,whisperx,None,272,268,0.106618,0.064935,85,0.907407,0.925373,0.911765,0.918519
Taylor Swift---Willow,whisper_openai,large-v2,414,409,0.041063,0.025064,49,0.974484,0.980440,0.968599,0.974484
Taylor Swift---Willow,whisper_openai,large-v3,414,544,0.340580,0.334527,654,0.849687,0.753676,0.990338,0.855950
Taylor Swift---Willow,whisper_timestamped,large-v2,414,335,0.219807,0.197442,386,0.867824,0.979104,0.792271,0.875834
Taylor Swift---Willow,whisper_timestamped,large-v3,414,549,0.413043,0.366752,717,0.801661,0.724954,0.961353,0.826584
Taylor Swift---Willow,whisper_timestamped,small,414,408,0.057971,0.052174,102,0.956204,0.963235,0.949275,0.956204
Taylor Swift---Willow_large-v2,whisperx,15,414,415,0.072464,0.046036,90,0.945718,0.956627,0.958937,0.957780
Taylor Swift---Willow_large-v2,whisperx,None,414,412,0.045894,0.027621,54,0.963680,0.973301,0.968599,0.970944
Taylor Swift---Willow_large-v3-turbo,whisperx,15,414,410,0.062802,0.034783,68,0.951456,0.958537,0.949275,0.953883
Taylor Swift---Willow_large-v3-turbo,whisperx,None,414,412,0.038647,0.021483,42,0.968523,0.973301,0.968599,0.970944
The-Anchorage---Live-With-Death,whisper_openai,large-v2,172,769,4.058140,3.250627,2594,0.150903,0.093628,0.418605,0.153029
The-Anchorage---Live-With-Death,whisper_openai,large-v3,172,104,0.627907,0.494987,395,0.485507,0.673077,0.406977,0.507246
The-Anchorage---Live-With-Death,whisper_timestamped,large-v2,172,121,0.494186,0.431078,344,0.607509,0.760331,0.534884,0.627986
The-Anchorage---Live-With-Death,whisper_timestamped,large-v3,172,74,0.656977,0.605263,483,0.495935,0.851351,0.366279,0.512195
The-Anchorage---Live-With-Death,whisper_timestamped,small,172,118,0.500000,0.438596,350,0.613793,0.805085,0.552326,0.655172
The-Anchorage---Live-With-Death_large-v2,whisperx,15,172,170,0.174419,0.120301,96,0.853801,0.864706,0.854651,0.859649
The-Anchorage---Live-With-Death_large-v2,whisperx,None,172,157,0.238372,0.176692,141,0.820669,0.866242,0.790698,0.826748
The-Anchorage---Live-With-Death_large-v3-turbo,whisperx,15,172,171,0.215116,0.144110,115,0.810496,0.830409,0.825581,0.827988
The-Anchorage---Live-With-Death_large-v3-turbo,whisperx,None,172,161,0.220930,0.160401,128,0.834835,0.869565,0.813953,0.840841
U2---With-Or-Without-You,whisper_openai,large-v2,195,216,0.323077,0.260045,233,0.793187,0.759259,0.841026,0.798054
U2---With-Or-Without-You,whisper_openai,large-v3,195,175,0.425641,0.371652,333,0.718919,0.788571,0.707692,0.745946
U2---With-Or-Without-You,whisper_timestamped,large-v2,195,227,0.682051,0.652902,585,0.445498,0.449339,0.523077,0.483412
U2---With-Or-Without-You,whisper_timestamped,large-v3,195,136,0.343590,0.294643,264,0.773414,0.963235,0.671795,0.791541
U2---With-Or-Without-You,whisper_timestamped,small,195,112,0.446154,0.414062,371,0.703583,0.973214,0.558974,0.710098
U2---With-Or-Without-You_large-v2,whisperx,15,195,179,0.220513,0.133929,120,0.850267,0.899441,0.825641,0.860963
U2---With-Or-Without-You_large-v2,whisperx,None,195,179,0.174359,0.108259,97,0.877005,0.949721,0.871795,0.909091
U2---With-Or-Without-You_large-v3-turbo,whisperx,15,195,165,0.235897,0.178571,160,0.855556,0.957576,0.810256,0.877778
U2---With-Or-Without-You_large-v3-turbo,whisperx,None,195,180,0.164103,0.108259,97,0.890667,0.938889,0.866667,0.901333
Zach-Williams---Empty-Grave,whisper_openai,large-v2,217,252,0.331797,0.268359,296,0.818763,0.781746,0.907834,0.840085
Zach-Williams---Empty-Grave,whisper_openai,large-v3,217,33,1.000000,0.844062,931,0.000000,0.000000,0.000000,0.000000
Zach-Williams---Empty-Grave,whisper_timestamped,large-v2,217,117,0.539171,0.469628,518,0.598802,0.871795,0.470046,0.610778
Zach-Williams---Empty-Grave,whisper_timestamped,large-v3,217,711,2.511521,2.348141,2590,0.364224,0.247539,0.811060,0.379310
Zach-Williams---Empty-Grave,whisper_timestamped,small,217,195,0.253456,0.146872,162,0.800971,0.846154,0.760369,0.800971
Zach-Williams---Empty-Grave_large-v2,whisperx,15,217,216,0.147465,0.077969,86,0.886836,0.893519,0.889401,0.891455
Zach-Williams---Empty-Grave_large-v2,whisperx,None,217,217,0.142857,0.063463,70,0.875576,0.894009,0.894009,0.894009
Zach-Williams---Empty-Grave_large-v3-turbo,whisperx,15,217,224,0.124424,0.073436,81,0.897959,0.888393,0.917051,0.902494
Zach-Williams---Empty-Grave_large-v3-turbo,whisperx,None,217,229,0.156682,0.077063,85,0.892377,0.868996,0.917051,0.892377
